idx,key,human_score_0,human_score_1,human_score_2,llm_score_0,llm_score_1,llm_score_2
36,results_full_1_BaselineLLMSystemGPT4oOneShot_legal-hard-2,0,0,0,0,0,0
37,results_full_1_BaselineLLMSystemGPT4oFewShot_legal-hard-23,1,1,1,0,0,0
38,results_full_1_BaselineLLMSystemGPT4oFewShot_legal-easy-25,0,0,0,0,0,0
39,results_full_1_BaselineLLMSystemGPTo3OneShot_legal-easy-25,0,0,0,0,0,0
40,results_full_1_BaselineLLMSystemGPTo3FewShot_legal-hard-2,0,0,0,0,0,0
41,results_full_1_BaselineLLMSystemGPTo3FewShot_legal-hard-23,0,0,0,0,0,0
42,results_full_1_BaselineLLMSystemGPTo3FewShot_legal-easy-25,0,0,0,0,0,0
43,results_full_1_BaselineLLMSystemGPTo3OneShot_environment-hard-18,1,1,1,1,1,1
44,results_full_1_BaselineLLMSystemGPTo3FewShot_environment-hard-18,1,1,1,1,1,1
45,results_full_1_BaselineLLMSystemLlama3_3InstructOneShot_wildfire-hard-12,0,0,0,0,0,0
46,results_full_1_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-7,0,0,0,0,0,0
47,results_full_1_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-12,0,0,0,0,0,0
48,results_full_1_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-18,0,0,0,0,0,0
49,results_full_1_BaselineLLMSystemGPT4oOneShot_wildfire-hard-12,1,1,1,1,1,1
50,results_full_1_BaselineLLMSystemGPT4oFewShot_wildfire-hard-7,0,0,0,0,0,0
51,results_full_1_BaselineLLMSystemGPT4oFewShot_wildfire-hard-12,0,0,0,0,0,0
52,results_full_1_BaselineLLMSystemGPT4oFewShot_wildfire-easy-13,1,1,1,1,1,1
53,results_full_1_BaselineLLMSystemGPT4oFewShot_wildfire-hard-18,0,0,0,0,0,0
54,results_full_1_BaselineLLMSystemGPTo3OneShot_wildfire-hard-12,1,1,1,1,1,1
55,results_full_1_BaselineLLMSystemGPTo3OneShot_wildfire-easy-13,1,1,1,1,1,1
56,results_full_1_BaselineLLMSystemGPTo3FewShot_wildfire-hard-7,1,1,1,1,1,1
57,results_full_1_BaselineLLMSystemGPTo3FewShot_wildfire-hard-12,0,0,0,0,0,0
58,results_full_1_BaselineLLMSystemGPTo3FewShot_wildfire-easy-13,1,1,1,1,1,1
59,results_full_2_BaselineLLMSystemLlama3_3InstructFewShot_astronomy-easy-4,0,0,0,0,0,0
60,results_full_2_BaselineLLMSystemGPT4oOneShot_astronomy-easy-4,0,0,0,0,0,0
61,results_full_2_BaselineLLMSystemGPT4oFewShot_astronomy-easy-4,0,0,0,0,0,0
62,results_full_2_BaselineLLMSystemGPTo3FewShot_astronomy-easy-4,0,0,0,0,0,0
63,results_full_2_BaselineLLMSystemDeepseekR1OneShot_legal-easy-25,0,0,0,0,0,0
64,results_full_2_BaselineLLMSystemDeepseekR1FewShot_legal-easy-25,0,0,0,0,0,0
65,results_full_2_BaselineLLMSystemLlama3_3InstructFewShot_legal-hard-2,0,0,0,0,0,0
66,results_full_2_BaselineLLMSystemGPT4oOneShot_legal-easy-25,0,0,0,0,0,0
67,results_full_2_BaselineLLMSystemGPT4oFewShot_legal-hard-2,0,0,0,0,0,0
68,results_full_2_BaselineLLMSystemGPT4oFewShot_legal-hard-23,0,0,0,0,0,0
69,results_full_2_BaselineLLMSystemGPT4oFewShot_legal-easy-25,0,0,0,0,0,0
70,results_full_2_BaselineLLMSystemGPTo3OneShot_legal-hard-2,0,0,0,0,0,0
71,results_full_2_BaselineLLMSystemGPTo3OneShot_legal-easy-25,0,0,0,0,0,0
72,results_full_2_BaselineLLMSystemGPTo3FewShot_legal-hard-2,0,0,0,0,0,0
73,results_full_2_BaselineLLMSystemGPTo3FewShot_legal-hard-23,0,0,0,0,0,0
74,results_full_2_BaselineLLMSystemGPTo3FewShot_legal-easy-25,0,0,0,0,0,0
75,results_full_2_BaselineLLMSystemGPTo3FewShot_environment-hard-18,1,1,1,1,1,1
76,results_full_2_BaselineLLMSystemLlama3_3InstructNaive_wildfire-hard-12,0,0,0,0,0,0
77,results_full_2_BaselineLLMSystemLlama3_3InstructOneShot_wildfire-hard-12,0,0,0,0,0,0
78,results_full_2_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-12,0,0,0,0,0,0
79,results_full_2_BaselineLLMSystemGPT4oOneShot_wildfire-hard-12,1,1,1,1,1,1
80,results_full_2_BaselineLLMSystemGPT4oFewShot_wildfire-hard-7,0,0,0,0,0,0
81,results_full_2_BaselineLLMSystemGPT4oFewShot_wildfire-hard-12,0,0,0,0,0,0
82,results_full_2_BaselineLLMSystemGPT4oFewShot_wildfire-easy-13,0,0,0,0,0,0
83,results_full_2_BaselineLLMSystemGPT4oFewShot_wildfire-hard-18,0,0,0,0,0,0
84,results_full_2_BaselineLLMSystemGPTo3OneShot_wildfire-hard-12,1,1,1,1,1,1
85,results_full_2_BaselineLLMSystemGPTo3OneShot_wildfire-easy-13,1,1,1,1,1,1
86,results_full_2_BaselineLLMSystemGPTo3OneShot_wildfire-hard-18,1,0,0,1,1,1
87,results_full_2_BaselineLLMSystemGPTo3FewShot_wildfire-hard-7,1,1,1,1,1,1
88,results_full_2_BaselineLLMSystemGPTo3FewShot_wildfire-hard-12,0,0,0,0,0,0
89,results_full_2_BaselineLLMSystemGPTo3FewShot_wildfire-easy-13,1,1,1,0,0,0
90,results_full_2_BaselineLLMSystemGPTo3FewShot_wildfire-hard-18,1,1,1,0,0,0
