MatterEnforcementFY,MatterEnforcementDate,MatterName,MatterNumber,MatterEnforcementType,Matterhyperlink,MatterType
2009,12/15/2008 0:00,"ESL Partners, L.P. / Autozone / Sears",510091,Civil Penalty (7a),http://www.ftc.gov/os/caselist/0510091/index.shtm#C:\Documents and Settings\jremy\Local Settings\Temporary Internet Files\Content.Outlook\T59RT7RP\Case Page Analysis - OED.xlsx#Exhibit!E9,Merger & Nonmerger
2008,12/19/2007 0:00,"ValueAct Capital Partners, L.P.",510204,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/0510204/index.shtm#,Merger & Nonmerger
2007,5/21/2007 0:00,James D. Dondero / Motient Corporation,510184,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/0510184/index.shtm#,Merger
2005,9/26/2005 0:00,"Scott Sacane and Durus Life Sciences fund, LLC - Master Fund",410068,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/0410068/0410068.shtm#,Merger & Nonmerger
2004,5/3/2004 0:00,William H. Gates III / ICOS,310058,Civil Penalty (7a),,Nonmerger
2004,2/19/2004 0:00,RHI AG,210105,Civil Penalty (Order Violation),#http://www.ftc.gov/os/caselist/0210105/0210105rhi.shtm#,Merger
2002,10/11/2001 0:00,The Hearst Trust and The Hearst Corporation,9910323,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/9910323.shtm#,Merger
2001,10/31/2000 0:00,Boston Scientific Corporation,9710116,Civil Penalty (Order Violation),,Merger
1999,4/12/1999 0:00,James M. Lapeyre,9910027,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/9910027.shtm#,Merger
1999,3/30/1999 0:00,Loewen / Prime / Blackstone,9710012,Civil Penalty (7a),,Merger
1998,7/30/1998 0:00,Columbia / HCA HealthCare Corp,9610013,Civil Penalty (Order Violation),#http://www.ftc.gov/os/caselist/c3544.shtm#,Merger
1998,3/31/1998 0:00,Loewen / Prime / Blackstone,9710012,Civil Penalty (7a),,Merger
1998,3/27/1998 0:00,CVS / Revco,9710121,Civil Penalty (Order Violation),,Merger
1998,2/25/1998 0:00,Rite Aid Corp,9410081,Civil Penalty (Order Violation),,Merger
1997,7/30/1997 0:00,Schnuck Markets Inc.,9610048,Civil Penalty (Order Violation),,Merger
1997,6/19/1997 0:00,MABEG-Mahle / Metal Leve,9610085,Civil Penalty (7a),http://www.ftc.gov/opa/1997/06/mmlcivp4.shtm#http://www.ftc.gov/opa/1997/06/mmlcivp4.shtm#,Merger
1997,2/13/1997 0:00,Harry Figgie HSR Compliance,9410027,Civil Penalty (7a),,Merger
1997,1/10/1997 0:00,Red Apple Sloans Supermarkets,9110123,Civil Penalty (Order Violation),#http://www.ftc.gov/opa/1997/01/redapp.shtm#,Merger
1996,8/13/1996 0:00,Foodmaker Inc,9410056,Civil Penalty (7a),,Merger
1996,5/7/1996 0:00,Pirelli Armstrong Tire Corp,9410110,Civil Penalty (7a),,Merger
1996,3/27/1996 0:00,ADP / AutoInfo,9510113,Civil Penalty (7a),,Merger
1996,10/19/1995 0:00,Federated Department Stores Inc,9310140,Civil Penalty (7a),,Merger
